Unnamed: 0,incident_county,incident_acres_burned,incident_longitude,incident_latitude,incident_url,incident_dateonly_extinguished,incident_dateonly_created,geometry,index,Air max,Bulb wet,County,Date,ETo,Evap,Precip,RH max,Soil max,Solar,Wind dir,Wx,dry,Air min,Soil min,RH min,obs,speed,type
549,Fresno,450,-120.369347,36.616986,https://www.fire.ca.gov/incidents/2017/6/11/monterey-fire/,2018-01-09,2017-06-11,POINT (-120.369347 36.616986),1622,72.76923076923076,,Fresno,2017-06-11,0.2375,,0.003846153846153847,67.625,73.875,627.25,0.0,,,50.375,70.25,23.75,,0.0,
550,Fresno,76,-119.35901,36.8005,https://www.fire.ca.gov/incidents/2017/6/11/tivy-fire/,2018-01-09,2017-06-11,POINT (-119.35901 36.8005),1622,72.76923076923076,,Fresno,2017-06-11,0.2375,,0.003846153846153847,67.625,73.875,627.25,0.0,,,50.375,70.25,23.75,,0.0,
547,Napa,22,-122.2654,38.68347,https://www.fire.ca.gov/incidents/2017/6/13/refuge-fire/,2018-01-09,2017-06-13,POINT (-122.2654 38.68347),1624,80.0,,Napa,2017-06-13,0.22,,0.005,99.0,64.0,634.5,0.0,,,44.0,60.5,42.5,,0.0,
548,Monterey,32,-120.983684,35.902149,https://www.fire.ca.gov/incidents/2017/6/11/pleyto-fire/,2018-01-09,2017-06-11,POINT (-120.983684 35.902149),1622,66.45454545454545,,Monterey,2017-06-11,0.20666666666666667,,0.0018181818181818184,92.625,66.875,666.875,0.0,,,47.45454545454545,64.125,57.75,,0.0,
551,Tuolumne,38,-120.45268,37.85137,https://www.fire.ca.gov/incidents/2017/6/11/red-fire/,2018-01-09,2017-06-11,POINT (-120.45268 37.85137),1622,80.0,,Tuolumne,2017-06-11,,,0.015,,,,,,,51.0,,,,,
552,Riverside,33,-116.97203600000002,33.584036,https://www.fire.ca.gov/incidents/2017/6/13/valley-fire/,2018-01-09,2017-06-13,POINT (-116.972036 33.584036),1624,92.53846153846152,,Riverside,2017-06-13,0.2828571428571429,,0.0009090909090909092,71.14285714285714,78.625,705.5555555555555,0.0,,,57.53846153846154,73.0,14.714285714285715,56.0,0.0,
555,Riverside,20,-116.85226000000002,33.52584,https://www.fire.ca.gov/incidents/2017/6/13/reed-fire/,2018-01-09,2017-06-13,POINT (-116.85226 33.52584),1624,92.53846153846152,,Riverside,2017-06-13,0.2828571428571429,,0.0009090909090909092,71.14285714285714,78.625,705.5555555555555,0.0,,,57.53846153846154,73.0,14.714285714285715,56.0,0.0,
553,San Diego,50,-117.29509,33.23281,https://www.fire.ca.gov/incidents/2017/6/13/douglas-fire/,2018-01-09,2017-06-13,POINT (-117.29509 33.23281),1624,79.42857142857143,,San Diego,2017-06-13,0.2383333333333333,,0.005714285714285714,88.6,77.4,734.1666666666665,0.0,,,50.85714285714285,66.4,33.4,,0.0,
554,Tulare,135,-118.74542,35.8556,https://www.fire.ca.gov/incidents/2017/6/13/king-fire/,2018-01-09,2017-06-13,POINT (-118.74542 35.8556),1624,86.6,,Tulare,2017-06-13,0.25,,0.002,83.5,81.0,700.3333333333335,0.0,,,54.8,73.0,26.0,,0.0,
556,San Luis Obispo,150,-120.3187,35.6871,https://www.fire.ca.gov/incidents/2017/6/14/lucy-fire/,2018-01-09,2017-06-14,POINT (-120.3187 35.6871),1625,81.85714285714286,,San Luis Obispo,2017-06-14,0.235,,0.005714285714285714,88.5,68.0,698.0,0.0,,,55.57142857142857,65.0,37.75,,0.0,
